height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards
177.0,72.0,0.125,274,120,61,93,89,23,0,0
175.0,65.0,0.125,347,133,94,120,14,44,3,0
183.0,73.0,0.0,254,96,63,95,9,65,1,2
183.0,80.0,0.75,210,98,51,61,6,28,1,0
174.0,71.0,0.125,310,160,75,75,15,75,4,1
173.0,71.0,0.25,396,195,97,104,97,62,0,4
169.0,59.0,0.25,85,36,19,30,3,11,0,1
196.0,93.0,0.0,136,48,33,55,0,9,0,2
178.0,64.0,0.25,276,95,75,106,12,8,0,0
169.0,70.0,0.5,251,103,57,91,46,37,3,5
188.0,89.0,0.125,240,76,79,85,0,11,0,5
176.0,68.0,0.25,267,104,65,98,36,28,3,1
180.0,73.0,0.125,119,53,25,41,32,17,1,0
179.0,70.0,0.375,242,149,38,55,16,51,5,1
172.0,65.0,0.0,94,47,18,29,4,14,0,2
176.0,69.0,0.5,259,105,79,75,13,16,0,0
177.0,74.0,0.0,91,31,32,28,4,15,1,1
184.0,73.0,0.125,305,102,82,121,14,35,2,4
183.0,76.0,0.25,463,192,110,161,18,75,4,3
168.0,67.0,0.25,151,64,46,41,8,27,0,1
174.0,68.0,0.5,183,63,56,64,13,23,0,0
185.0,75.0,1.0,124,49,35,40,6,25,0,4
195.0,90.0,0.375,206,104,46,56,15,40,2,2
185.0,72.0,0.0,112,39,21,52,19,11,0,0
194.0,80.0,0.75,176,92,41,43,14,19,1,0
193.0,85.0,0.5,116,46,33,37,6,31,0,2
179.0,79.0,0.0,147,64,32,51,29,20,0,0
184.0,70.0,0.0,157,43,50,64,19,38,1,1
178.0,74.0,0.25,328,200,53,75,3,74,2,0
176.0,69.0,0.125,387,170,85,132,3,117,4,3
183.0,70.0,0.125,596,313,135,148,238,74,5,1
181.0,79.0,0.0,355,133,92,130,31,34,0,0
170.0,64.0,0.0,410,176,127,107,14,86,0,4
181.0,73.0,0.625,604,338,137,129,105,64,3,0
187.0,82.0,0.125,97,53,23,21,3,10,0,0
176.0,70.0,0.0,146,57,43,46,2,15,1,0
179.0,68.0,0.25,178,58,60,60,24,13,0,0
178.0,73.0,0.5,108,50,23,35,2,9,2,1
180.0,72.0,0.625,292,129,92,71,3,52,3,0
170.0,72.0,0.25,466,286,93,87,127,46,3,3
173.0,69.0,0.0,255,72,75,108,3,35,1,0
194.0,78.0,0.25,177,52,52,73,21,20,0,1
187.0,81.0,0.0,71,29,18,24,10,8,0,0
174.0,69.0,0.25,136,52,29,55,5,25,2,1
186.0,77.0,0.0,247,122,67,58,9,30,0,0
183.0,77.0,0.125,914,523,197,194,265,86,2,2
172.0,82.0,0.75,194,74,47,73,45,21,1,0
188.0,77.0,0.5,389,132,118,139,82,32,3,4
180.0,74.0,0.0,383,186,85,112,25,112,7,0
178.0,76.0,0.5,342,131,97,114,81,39,0,0
186.0,79.0,0.25,168,85,38,45,7,4,0,0
188.0,79.0,0.0,278,108,66,104,9,59,4,3
167.0,64.0,0.25,265,115,68,82,43,44,0,0
176.0,72.0,0.5,389,237,86,66,2,49,1,0
176.0,65.0,0.0,267,87,78,102,33,20,1,1
183.0,74.0,0.75,188,73,50,65,3,28,0,0
182.0,75.0,0.375,94,25,23,46,2,30,3,1
188.0,79.0,0.25,73,31,9,33,4,35,2,0
183.0,74.0,0.25,336,162,78,96,93,32,0,1
184.0,78.0,0.125,679,314,170,195,65,105,2,2
187.0,79.0,1.0,99,39,21,39,45,24,2,0
178.0,75.0,0.375,218,84,47,87,4,32,0,0
180.0,74.0,0.5,137,61,35,41,7,29,0,3
188.0,71.0,0.25,360,153,76,131,31,43,0,4
180.0,74.0,0.0,437,174,101,162,17,69,2,7
171.0,76.0,0.125,300,121,74,105,28,77,6,10
178.0,71.0,0.0,225,88,54,83,15,28,2,0
183.0,82.0,0.25,159,52,49,58,0,9,0,1
171.0,66.0,0.25,277,116,66,95,29,46,0,1
181.0,73.0,0.0,190,79,53,58,0,10,0,1
188.0,76.0,0.875,121,57,27,37,6,21,0,1
188.0,74.0,0.0,226,90,66,70,9,47,3,1
180.0,74.0,0.0,410,157,96,157,2,64,1,1
180.0,85.0,1.0,537,259,125,153,91,76,2,2
186.0,78.0,0.125,162,66,46,50,0,13,0,0
